Index 113->Feature of type 1 starts(2, 6) ends(21, 11) in (x, y) format
Index 114->Feature of type 2 starts(2, 6) ends(21, 11) in (x, y) format
Index 115->Feature of type 3 starts(2, 6) ends(21, 11) in (x, y) format
Index 116->Feature of type 0 starts(2, 6) ends(21, 12) in (x, y) format
Index 117->Feature of type 1 starts(2, 6) ends(21, 12) in (x, y) format
Index 118->Feature of type 2 starts(2, 6) ends(21, 12) in (x, y) format
Index 119->Feature of type 3 starts(2, 6) ends(21, 12) in (x, y) format
Index 120->Feature of type 0 starts(2, 6) ends(22, 10) in (x, y) format
Index 121->Feature of type 1 starts(2, 6) ends(22, 10) in (x, y) format
Index 122->Feature of type 2 starts(2, 6) ends(22, 10) in (x, y) format
Index 123->Feature of type 3 starts(2, 6) ends(22, 10) in (x, y) format
Index 124->Feature of type 0 starts(2, 6) ends(22, 11) in (x, y) format
Index 125->Feature of type 1 starts(2, 6) ends(22, 11) in (x, y) format
Index 126->Feature of type 2 starts(2, 6) ends(22, 11) in (x, y) format
Index 127->Feature of type 3 starts(2, 6) ends(22, 11) in (x, y) format
Index 128->Feature of type 0 starts(2, 6) ends(22, 12) in (x, y) format
Index 129->Feature of type 1 starts(2, 6) ends(22, 12) in (x, y) format
Index 130->Feature of type 2 starts(2, 6) ends(22, 12) in (x, y) format
Index 131->Feature of type 3 starts(2, 6) ends(22, 12) in (x, y) format
Index 132->Feature of type 0 starts(2, 6) ends(23, 10) in (x, y) format
Index 133->Feature of type 1 starts(2, 6) ends(23, 10) in (x, y) format
Index 134->Feature of type 2 starts(2, 6) ends(23, 10) in (x, y) format
Index 135->Feature of type 3 starts(2, 6) ends(23, 10) in (x, y) format
Index 136->Feature of type 0 starts(2, 6) ends(23, 11) in (x, y) format
Index 137->Feature of type 1 starts(2, 6) ends(23, 11) in (x, y) format
Index 138->Feature of type 2 starts(2, 6) ends(23, 11) in (x, y) format
Index 139->Feature of type 3 starts(2, 6) ends(23, 11) in (x, y) format
Index 140->Feature of type 0 starts(2, 6) ends(23, 12) in (x, y) format
Index 141->Feature of type 1 starts(2, 6) ends(23, 12) in (x, y) format
Index 142->Feature of type 2 starts(2, 6) ends(23, 12) in (x, y) format
Index 143->Feature of type 3 starts(2, 6) ends(23, 12) in (x, y) format
Index 144->Feature of type 0 starts(2, 6) ends(24, 10) in (x, y) format
Index 145->Feature of type 1 starts(2, 6) ends(24, 10) in (x, y) format
Index 146->Feature of type 2 starts(2, 6) ends(24, 10) in (x, y) format
Index 147->Feature of type 3 starts(2, 6) ends(24, 10) in (x, y) format
Index 148->Feature of type 0 starts(2, 6) ends(24, 11) in (x, y) format
Index 149->Feature of type 1 starts(2, 6) ends(24, 11) in (x, y) format
Index 150->Feature of type 2 starts(2, 6) ends(24, 11) in (x, y) format
Index 151->Feature of type 3 starts(2, 6) ends(24, 11) in (x, y) format
Index 152->Feature of type 0 starts(2, 6) ends(24, 12) in (x, y) format
Index 153->Feature of type 1 starts(2, 6) ends(24, 12) in (x, y) format
Index 154->Feature of type 2 starts(2, 6) ends(24, 12) in (x, y) format
Index 155->Feature of type 3 starts(2, 6) ends(24, 12) in (x, y) format
Index 156->Feature of type 0 starts(2, 6) ends(25, 10) in (x, y) format
Index 157->Feature of type 1 starts(2, 6) ends(25, 10) in (x, y) format
Index 158->Feature of type 2 starts(2, 6) ends(25, 10) in (x, y) format
Index 159->Feature of type 3 starts(2, 6) ends(25, 10) in (x, y) format
Index 160->Feature of type 0 starts(2, 6) ends(25, 11) in (x, y) format
Index 161->Feature of type 1 starts(2, 6) ends(25, 11) in (x, y) format
Index 162->Feature of type 2 starts(2, 6) ends(25, 11) in (x, y) format
Index 163->Feature of type 3 starts(2, 6) ends(25, 11) in (x, y) format
Index 164->Feature of type 0 starts(2, 6) ends(25, 12) in (x, y) format
Index 165->Feature of type 1 starts(2, 6) ends(25, 12) in (x, y) format
Index 166->Feature of type 2 starts(2, 6) ends(25, 12) in (x, y) format
Index 167->Feature of type 3 starts(2, 6) ends(25, 12) in (x, y) format
Index 168->Feature of type 0 starts(2, 6) ends(26, 10) in (x, y) format
Index 169->Feature of type 1 starts(2, 6) ends(26, 10) in (x, y) format
Index 170->Feature of type 2 starts(2, 6) ends(26, 10) in (x, y) format
Index 171->Feature of type 3 starts(2, 6) ends(26, 10) in (x, y) format
Index 172->Feature of type 0 starts(2, 6) ends(26, 11) in (x, y) format
Index 173->Feature of type 1 starts(2, 6) ends(26, 11) in (x, y) format
Index 174->Feature of type 2 starts(2, 6) ends(26, 11) in (x, y) format
Index 175->Feature of type 3 starts(2, 6) ends(26, 11) in (x, y) format
Index 176->Feature of type 0 starts(2, 6) ends(26, 12) in (x, y) format
Index 177->Feature of type 1 starts(2, 6) ends(26, 12) in (x, y) format
Index 178->Feature of type 2 starts(2, 6) ends(26, 12) in (x, y) format
Index 179->Feature of type 3 starts(2, 6) ends(26, 12) in (x, y) format
Index 180->Feature of type 0 starts(2, 6) ends(27, 10) in (x, y) format
